word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,i,1,expected,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
1,expected,2,the,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
2,the,3,journey,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
3,journey,4,to,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
4,to,5,feel,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
5,feel,6,endless,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
6,endless,7,yet,",",",",region_break,1,comma_with_lull,0.280000,0.280000,0.280000,0.280000,0,1
7,yet,8,every,,,none,0,none,0.100000,0.100000,0.100000,0.100000,1,1
8,every,9,stop,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
9,stop,10,brought,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
10,brought,11,something,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
11,something,12,memorable,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
12,memorable,13,a,:,:,region_break,1,hard_punctuation_with_lull,0.440000,0.440000,0.440000,0.440000,1,2
13,a,14,friendly,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
14,friendly,15,conversation,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
15,conversation,16,a,",",",",region_break,1,comma_with_lull,0.240000,0.240000,0.240000,0.240000,2,3
16,a,17,beautiful,,,none,0,none,0.000000,0.000000,0.000000,0.000000,3,3
17,beautiful,18,view,,,none,0,none,0.000000,0.000000,0.000000,0.000000,3,3
18,view,19,an,",",",",region_break,1,comma_with_lull,0.200000,0.200000,0.200000,0.200000,3,4
19,an,20,excellent,,,none,0,none,0.030000,0.030000,0.000000,0.030000,4,4
20,excellent,21,meal,,,none,0,none,0.000000,0.000000,0.000000,0.000000,4,4
21,meal,22,or,",",",",none,0,none,0.000000,0.000000,0.000000,0.000000,4,4
22,or,23,a,,,none,0,none,0.000000,0.000000,0.000000,0.000000,4,4
23,a,24,story,,,none,0,none,0.000000,0.000000,0.000000,0.000000,4,4
24,story,25,i,,,none,0,none,0.000000,0.000000,0.000000,0.000000,4,4
25,i,26,had,,,none,0,none,0.000000,0.000000,0.000000,0.000000,4,4
26,had,27,never,,,none,0,none,0.000000,0.000000,0.000000,0.000000,4,4
27,never,28,heard,,,none,0,none,0.000000,0.000000,0.000000,0.000000,4,4
